source,source_id,raw_id,title,title_stem,author,license_raw,license_normalized,license_display,url,genre_tier1,genre_tier2,primary_pool,candidate_pools,auto_label_score,auto_label_confidence,auto_label_bucket,matched_keywords
freesound,2274,2274,90 bpm ATTACK LOOP 3 sine tom melody 3 mastered 16 bit.wav,90 bpm ATTACK LOOP 3 sine tom melody 3 mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2274/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""loop"", ""tom""]}"
freesound,2793,2793,HIHAT.wav,HIHAT,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/2793/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums"", ""Freesound-CC-BY-Experimental/Noise""]",4,0.7825,high,"{""Percussion/Drums"": [""hihat""], ""Experimental/Noise"": [""noise""]}"
freesound,2854,2854,beat_loop.mp3,beat_loop,nathanshadow,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/nathanshadow/sounds/2854/,Percussion/Drums,Percussion/Drums,Freesound-CC-Sampling+-Percussion/Drums,"[""Freesound-CC-Sampling+-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""beat"", ""loop""]}"
freesound,2855,2855,horror_ambient_001.wav,horror_ambient_001,nathanshadow,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/nathanshadow/sounds/2855/,Ambient/Drone,Ambient/Drone,Freesound-CC-Sampling+-Ambient/Drone,"[""Freesound-CC-Sampling+-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,4041,4041,ind white noise flange.wav,ind white noise flange,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/4041/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Sound Effects""]",7,0.8687,high,"{""Experimental/Noise"": [""noise"", ""white noise""], ""Sound Effects"": [""hit""]}"
freesound,4042,4042,ind white noise flange2.wav,ind white noise flange2,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/4042/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Sound Effects""]",7,0.8687,high,"{""Experimental/Noise"": [""noise"", ""white noise""], ""Sound Effects"": [""hit""]}"
freesound,4043,4043,ind white noise flange3.wav,ind white noise flange3,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/4043/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Sound Effects""]",7,0.8687,high,"{""Experimental/Noise"": [""noise"", ""white noise""], ""Sound Effects"": [""hit""]}"
freesound,4044,4044,ind white noise parking garage.wav,ind white noise parking garage,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/4044/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Sound Effects""]",7,0.8687,high,"{""Experimental/Noise"": [""noise"", ""white noise""], ""Sound Effects"": [""hit""]}"
freesound,4045,4045,ind white noise robotic echo.wav,ind white noise robotic echo,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/4045/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Sound Effects""]",7,0.8687,high,"{""Experimental/Noise"": [""noise"", ""white noise""], ""Sound Effects"": [""hit""]}"
freesound,4046,4046,ind white noise zigzag.wav,ind white noise zigzag,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/4046/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Sound Effects""]",7,0.8687,high,"{""Experimental/Noise"": [""noise"", ""white noise""], ""Sound Effects"": [""hit""]}"
freesound,4503,4503,violin.open.strings.chords.wav,violin.open.strings.chords,dobroide,ccby,cc-by,CC-BY,https://freesound.org/people/dobroide/sounds/4503/,Classical/Orchestral,Classical/Orchestral,Freesound-CC-BY-Classical/Orchestral,"[""Freesound-CC-BY-Classical/Orchestral""]",5,1.0000,high,"{""Classical/Orchestral"": [""string"", ""strings"", ""violin""]}"
freesound,6170,6170,granular changecounter.wav,granular changecounter,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/6170/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",7,1.0000,high,"{""Experimental/Noise"": [""granular"", ""noise""]}"
freesound,6171,6171,granular dynabass.wav,granular dynabass,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/6171/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",7,1.0000,high,"{""Experimental/Noise"": [""granular"", ""noise""]}"
freesound,6172,6172,granular scissors.wav,granular scissors,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/6172/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",7,1.0000,high,"{""Experimental/Noise"": [""granular"", ""noise""]}"
freesound,6614,6614,SteamPipe 4 Ambient Landscape C1.wav,SteamPipe 4 Ambient Landscape C1,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6614/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6615,6615,SteamPipe 4 Ambient Landscape C2.wav,SteamPipe 4 Ambient Landscape C2,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6615/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6616,6616,SteamPipe 4 Ambient Landscape C3.wav,SteamPipe 4 Ambient Landscape C3,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6616/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6617,6617,SteamPipe 4 Ambient Landscape C4.wav,SteamPipe 4 Ambient Landscape C4,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6617/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6618,6618,SteamPipe 4 Ambient Landscape C5.wav,SteamPipe 4 Ambient Landscape C5,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6618/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6619,6619,SteamPipe 4 Ambient Landscape C6.wav,SteamPipe 4 Ambient Landscape C6,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6619/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6620,6620,SteamPipe 4 Ambient Landscape E1.wav,SteamPipe 4 Ambient Landscape E1,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6620/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6621,6621,SteamPipe 4 Ambient Landscape E2.wav,SteamPipe 4 Ambient Landscape E2,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6621/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6622,6622,SteamPipe 4 Ambient Landscape E3.wav,SteamPipe 4 Ambient Landscape E3,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6622/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6623,6623,SteamPipe 4 Ambient Landscape E4.wav,SteamPipe 4 Ambient Landscape E4,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6623/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6624,6624,SteamPipe 4 Ambient Landscape E5.wav,SteamPipe 4 Ambient Landscape E5,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6624/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6625,6625,SteamPipe 4 Ambient Landscape G#1.wav,SteamPipe 4 Ambient Landscape G#1,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6625/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6626,6626,SteamPipe 4 Ambient Landscape G#2.wav,SteamPipe 4 Ambient Landscape G#2,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6626/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6627,6627,SteamPipe 4 Ambient Landscape G#3.wav,SteamPipe 4 Ambient Landscape G#3,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6627/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6628,6628,SteamPipe 4 Ambient Landscape G#4.wav,SteamPipe 4 Ambient Landscape G#4,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6628/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,6629,6629,SteamPipe 4 Ambient Landscape G#5.wav,SteamPipe 4 Ambient Landscape G#5,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/6629/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,7281,7281,odd drum loop 90bpms.wav,odd drum loop 90bpms,LS,ccby,cc-by,CC-BY,https://freesound.org/people/LS/sounds/7281/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",9,1.0000,high,"{""Percussion/Drums"": [""drum"", ""drum loop"", ""loop""]}"
freesound,8848,8848,water bottle snare desk 22 (tom wobble).wav,water bottle snare desk 22 (tom wobble),Churd-Tzu,cc0,cc0,CC0,https://freesound.org/people/Churd-Tzu/sounds/8848/,Percussion/Drums,Percussion/Drums,Freesound-CC0-Percussion/Drums,"[""Freesound-CC0-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""snare"", ""tom""]}"
freesound,8849,8849,water bottle snare desk 23 (woody kick).wav,water bottle snare desk 23 (woody kick),Churd-Tzu,cc0,cc0,CC0,https://freesound.org/people/Churd-Tzu/sounds/8849/,Percussion/Drums,Percussion/Drums,Freesound-CC0-Percussion/Drums,"[""Freesound-CC0-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""kick"", ""snare""]}"
freesound,8850,8850,water bottle snare desk 24 (deep kick).wav,water bottle snare desk 24 (deep kick),Churd-Tzu,cc0,cc0,CC0,https://freesound.org/people/Churd-Tzu/sounds/8850/,Percussion/Drums,Percussion/Drums,Freesound-CC0-Percussion/Drums,"[""Freesound-CC0-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""kick"", ""snare""]}"
freesound,9134,9134,ambient pajaritus.wav,ambient pajaritus,melack,ccby,cc-by,CC-BY,https://freesound.org/people/melack/sounds/9134/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,9201,9201,bassline_oh.wav,bassline_oh,harri,ccby,cc-by,CC-BY,https://freesound.org/people/harri/sounds/9201/,Electronic,Electronic,Freesound-CC-BY-Electronic,"[""Freesound-CC-BY-Electronic""]",6,1.0000,high,"{""Electronic"": [""bassline""]}"
freesound,9378,9378,radio_drone-01.flac,radio_drone-01,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9378/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""drone""]}"
freesound,9384,9384,low_tom_loop.wav,low_tom_loop,lancelottjones,ccby,cc-by,CC-BY,https://freesound.org/people/lancelottjones/sounds/9384/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""loop"", ""tom""]}"
freesound,9414,9414,granular-01a.flac,granular-01a,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9414/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9415,9415,granular-01b.flac,granular-01b,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9415/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9416,9416,granular-01c.flac,granular-01c,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9416/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9417,9417,granular-02a.flac,granular-02a,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9417/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9418,9418,granular-02b.flac,granular-02b,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9418/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9419,9419,granular-03a.flac,granular-03a,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9419/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9420,9420,granular-03b.flac,granular-03b,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9420/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9421,9421,granular-03c.flac,granular-03c,833-45,ccby,cc-by,CC-BY,https://freesound.org/people/833-45/sounds/9421/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise""]",6,1.0000,high,"{""Experimental/Noise"": [""granular""]}"
freesound,9501,9501,pad-pi_drone.aif,pad-pi_drone,A43,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/A43/sounds/9501/,Ambient/Drone,Ambient/Drone,Freesound-CC-Sampling+-Ambient/Drone,"[""Freesound-CC-Sampling+-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""drone""]}"
freesound,9511,9511,low_tom_loop_dist.wav,low_tom_loop_dist,lancelottjones,ccby,cc-by,CC-BY,https://freesound.org/people/lancelottjones/sounds/9511/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""loop"", ""tom""]}"
freesound,9682,9682,ambient_uboat.wav,ambient_uboat,counter202,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/counter202/sounds/9682/,Ambient/Drone,Ambient/Drone,Freesound-CC-Sampling+-Ambient/Drone,"[""Freesound-CC-Sampling+-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,9685,9685,ambient_uboat_2.wav,ambient_uboat_2,counter202,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/counter202/sounds/9685/,Ambient/Drone,Ambient/Drone,Freesound-CC-Sampling+-Ambient/Drone,"[""Freesound-CC-Sampling+-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""ambient""]}"
freesound,11485,11485,light rain in forest.wav.WAV,light rain in forest.wav,inchadney,ccby,cc-by,CC-BY,https://freesound.org/people/inchadney/sounds/11485/,Field Recording,Field Recording,Freesound-CC-BY-Field Recording,"[""Freesound-CC-BY-Field Recording""]",4,1.0000,high,"{""Field Recording"": [""forest"", ""rain""]}"
freesound,11672,11672,lo-fi_absynth_loop.wav,lo-fi_absynth_loop,epicaricacy,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/epicaricacy/sounds/11672/,Electronic,Electronic,Freesound-CC-Sampling+-Electronic,"[""Freesound-CC-Sampling+-Electronic"", ""Freesound-CC-Sampling+-Percussion/Drums""]",6,0.7208,high,"{""Electronic"": [""synth"", ""synth loop""], ""Percussion/Drums"": [""loop""]}"
freesound,11859,11859,analog_noise_arped_radio_static.wav,analog_noise_arped_radio_static,medialint,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/medialint/sounds/11859/,Experimental/Noise,Experimental/Noise,Freesound-CC-Sampling+-Experimental/Noise,"[""Freesound-CC-Sampling+-Experimental/Noise""]",4,1.0000,high,"{""Experimental/Noise"": [""noise"", ""static""]}"
freesound,12509,12509,granular ambience 1 generator.wav,granular ambience 1 generator,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/12509/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Field Recording""]",7,0.7556,high,"{""Experimental/Noise"": [""granular"", ""noise""], ""Field Recording"": [""ambience""]}"
freesound,12510,12510,granular ambience 2 boat.wav,granular ambience 2 boat,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/12510/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Field Recording""]",7,0.7556,high,"{""Experimental/Noise"": [""granular"", ""noise""], ""Field Recording"": [""ambience""]}"
freesound,12511,12511,granular ambience 3 bubbler.wav,granular ambience 3 bubbler,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/12511/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Field Recording""]",7,0.7556,high,"{""Experimental/Noise"": [""granular"", ""noise""], ""Field Recording"": [""ambience""]}"
freesound,12512,12512,granular ambience 4 marchband.wav,granular ambience 4 marchband,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/12512/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Field Recording""]",7,0.7556,high,"{""Experimental/Noise"": [""granular"", ""noise""], ""Field Recording"": [""ambience""]}"
freesound,12513,12513,granular ambience 5 stellar storm.wav,granular ambience 5 stellar storm,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/12513/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Field Recording""]",7,0.7556,high,"{""Experimental/Noise"": [""granular"", ""noise""], ""Field Recording"": [""ambience""]}"
freesound,12514,12514,granular ambience 6 jackhammer.wav,granular ambience 6 jackhammer,NoiseCollector,ccby,cc-by,CC-BY,https://freesound.org/people/NoiseCollector/sounds/12514/,Experimental/Noise,Experimental/Noise,Freesound-CC-BY-Experimental/Noise,"[""Freesound-CC-BY-Experimental/Noise"", ""Freesound-CC-BY-Field Recording""]",7,0.7556,high,"{""Experimental/Noise"": [""granular"", ""noise""], ""Field Recording"": [""ambience""]}"
